Flight Distance,Mean,Median,Variance,Standard deviation,Standard error,,,,,,,,,,Q1,Q3,IQR,Lower fence,Upper fence,outlier status
821,1190.316392,844,994903.7843,997.4486374,2.767702471,,,,,,,,,,414,1744,1330,-1581,3739,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
1905,,,,,,,,,,,,,,,,,,,,Normal
3470,,,,,,,,,,,,,,,,,,,,Normal
3788,,,,,,,,,,,,,,,,,,,,Outlier
1963,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
2607,,,,,,,,,,,,,,,,,,,,Normal
2822,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
421,,,,,,,,,,,,,,,,,,,,Normal
453,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
3460,,,,,,,,,,,,,,,,,,,,Normal
1676,,,,,,,,,,,,,,,,,,,,Normal
2168,,,,,,,,,,,,,,,,,,,,Normal
2867,,,,,,,,,,,,,,,,,,,,Normal
3734,,,,,,,,,,,,,,,,,,,,Normal
3088,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
1672,,,,,,,,,,,,,,,,,,,,Normal
2884,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
215,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
1554,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
1584,,,,,,,,,,,,,,,,,,,,Normal
2077,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
1859,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
2853,,,,,,,,,,,,,,,,,,,,Normal
3655,,,,,,,,,,,,,,,,,,,,Normal
2485,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
2199,,,,,,,,,,,,,,,,,,,,Normal
3997,,,,,,,,,,,,,,,,,,,,Outlier
3392,,,,,,,,,,,,,,,,,,,,Normal
3391,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
2423,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
3213,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
3201,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
215,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
215,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
212,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
67,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
2865,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
2035,,,,,,,,,,,,,,,,,,,,Normal
3513,,,,,,,,,,,,,,,,,,,,Normal
108,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
173,,,,,,,,,,,,,,,,,,,,Normal
215,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
2992,,,,,,,,,,,,,,,,,,,,Normal
1970,,,,,,,,,,,,,,,,,,,,Normal
1964,,,,,,,,,,,,,,,,,,,,Normal
3227,,,,,,,,,,,,,,,,,,,,Normal
2639,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
3477,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
1954,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
2046,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
3389,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
1553,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
162,,,,,,,,,,,,,,,,,,,,Normal
3043,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
1868,,,,,,,,,,,,,,,,,,,,Normal
562,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
2029,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
2374,,,,,,,,,,,,,,,,,,,,Normal
3261,,,,,,,,,,,,,,,,,,,,Normal
3538,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
3002,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
2371,,,,,,,,,,,,,,,,,,,,Normal
1946,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
3758,,,,,,,,,,,,,,,,,,,,Outlier
227,,,,,,,,,,,,,,,,,,,,Normal
1534,,,,,,,,,,,,,,,,,,,,Normal
3424,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
2731,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
3415,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
1798,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
3822,,,,,,,,,,,,,,,,,,,,Outlier
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
227,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2975,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2569,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2497,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
3880,,,,,,,,,,,,,,,,,,,,Outlier
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2888,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2129,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
3556,,,,,,,,,,,,,,,,,,,,Normal
3098,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
2136,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
3756,,,,,,,,,,,,,,,,,,,,Outlier
3175,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
2376,,,,,,,,,,,,,,,,,,,,Normal
1828,,,,,,,,,,,,,,,,,,,,Normal
3728,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
290,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
1957,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
213,,,,,,,,,,,,,,,,,,,,Normal
3242,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
3477,,,,,,,,,,,,,,,,,,,,Normal
2689,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
2903,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
319,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
719,,,,,,,,,,,,,,,,,,,,Normal
3800,,,,,,,,,,,,,,,,,,,,Outlier
612,,,,,,,,,,,,,,,,,,,,Normal
612,,,,,,,,,,,,,,,,,,,,Normal
1708,,,,,,,,,,,,,,,,,,,,Normal
612,,,,,,,,,,,,,,,,,,,,Normal
612,,,,,,,,,,,,,,,,,,,,Normal
612,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
3967,,,,,,,,,,,,,,,,,,,,Outlier
825,,,,,,,,,,,,,,,,,,,,Normal
2770,,,,,,,,,,,,,,,,,,,,Normal
2026,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
3357,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
3044,,,,,,,,,,,,,,,,,,,,Normal
402,,,,,,,,,,,,,,,,,,,,Normal
402,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
3433,,,,,,,,,,,,,,,,,,,,Normal
802,,,,,,,,,,,,,,,,,,,,Normal
825,,,,,,,,,,,,,,,,,,,,Normal
1250,,,,,,,,,,,,,,,,,,,,Normal
2718,,,,,,,,,,,,,,,,,,,,Normal
1250,,,,,,,,,,,,,,,,,,,,Normal
1517,,,,,,,,,,,,,,,,,,,,Normal
1250,,,,,,,,,,,,,,,,,,,,Normal
1250,,,,,,,,,,,,,,,,,,,,Normal
2262,,,,,,,,,,,,,,,,,,,,Normal
590,,,,,,,,,,,,,,,,,,,,Normal
590,,,,,,,,,,,,,,,,,,,,Normal
590,,,,,,,,,,,,,,,,,,,,Normal
590,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
3183,,,,,,,,,,,,,,,,,,,,Normal
1895,,,,,,,,,,,,,,,,,,,,Normal
2204,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
2146,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
2180,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
3206,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
2160,,,,,,,,,,,,,,,,,,,,Normal
3380,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
853,,,,,,,,,,,,,,,,,,,,Normal
3109,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
3674,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
821,,,,,,,,,,,,,,,,,,,,Normal
3845,,,,,,,,,,,,,,,,,,,,Outlier
821,,,,,,,,,,,,,,,,,,,,Normal
3344,,,,,,,,,,,,,,,,,,,,Normal
3954,,,,,,,,,,,,,,,,,,,,Outlier
